#nucleus-nld-mass-strength-omp 167Bi-1-1-1-1
      E       f(M1)        f(E1)        T(M1)        T(E1)
1.30000E+01 3.37351E-09 1.90399E-06 4.65685E-05 2.62830E-02
1.35000E+01 2.87686E-09 2.28945E-06 4.44734E-05 3.53926E-02
1.40000E+01 2.47567E-09 2.55663E-06 4.26831E-05 4.40790E-02
1.45000E+01 2.14782E-09 2.57711E-06 4.11417E-05 4.93647E-02
1.50000E+01 1.87709E-09 2.33976E-06 3.98050E-05 4.96163E-02
1.55000E+01 1.65136E-09 1.96342E-06 3.86381E-05 4.59397E-02
1.60000E+01 1.46150E-09 1.57727E-06 3.76130E-05 4.05925E-02
1.65000E+01 1.30053E-09 1.24721E-06 3.67072E-05 3.52024E-02
1.70000E+01 1.16306E-09 9.87094E-07 3.59027E-05 3.04709E-02
1.75000E+01 1.04486E-09 7.88422E-07 3.51846E-05 2.65493E-02
1.80000E+01 9.42614E-10 6.37677E-07 3.45407E-05 2.33668E-02
1.85000E+01 8.53658E-10 5.22685E-07 3.39609E-05 2.07939E-02
1.90000E+01 7.75860E-10 4.34019E-07 3.34367E-05 1.87046E-02
1.95000E+01 7.07488E-10 3.64770E-07 3.29612E-05 1.69943E-02
2.00000E+01 6.47130E-10 3.09966E-07 3.25283E-05 1.55806E-02
2.10000E+01 5.45999E-10 2.30379E-07 3.17709E-05 1.34054E-02
2.20000E+01 4.65330E-10 1.76859E-07 3.11321E-05 1.18324E-02
2.30000E+01 4.00117E-10 1.39395E-07 3.05880E-05 1.06564E-02
2.40000E+01 3.46773E-10 1.12274E-07 3.01203E-05 9.75195E-03
2.50000E+01 3.02675E-10 9.20752E-08 2.97151E-05 9.03946E-03
2.60000E+01 2.65876E-10 7.66681E-08 2.93615E-05 8.46671E-03
2.70000E+01 2.34904E-10 6.46732E-08 2.90510E-05 7.99826E-03
2.80000E+01 2.08635E-10 5.51691E-08 2.87767E-05 7.60939E-03
2.90000E+01 1.86198E-10 4.75227E-08 2.85332E-05 7.28241E-03
3.00000E+01 1.66911E-10 4.12881E-08 2.83158E-05 7.00436E-03
3.10000E+01 1.50233E-10 3.61444E-08 2.81210E-05 6.76559E-03
3.20000E+01 1.35733E-10 3.18560E-08 2.79456E-05 6.55875E-03
3.30000E+01 1.23062E-10 2.82471E-08 2.77872E-05 6.37817E-03
#nucleus-nld-mass-strength-omp 167Bi-1-1-2-2
      E       f(M1)        f(E1)        T(M1)        T(E1)
1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
2.00000E-03 2.63530E-12 3.12631E-11 1.32465E-19 1.57145E-18
5.00000E-03 6.58827E-12 7.81577E-11 5.17441E-18 6.13849E-17
1.00000E-02 1.31766E-11 1.56316E-10 8.27908E-17 9.82159E-16
2.00000E-02 2.63534E-11 3.12632E-10 1.32466E-15 1.57146E-14
5.00000E-02 6.58877E-11 7.81595E-10 5.17480E-14 6.13863E-13
1.00000E-01 1.31806E-10 1.56330E-09 8.28161E-13 9.82248E-12
2.00000E-01 2.63856E-10 3.12745E-09 1.32629E-11 1.57203E-10
3.00000E-01 3.96396E-10 4.69333E-09 6.72470E-11 7.96205E-10
4.00000E-01 5.29673E-10 6.26180E-09 2.12994E-10 2.51802E-09
5.00000E-01 6.63937E-10 7.83371E-09 5.21455E-10 6.15258E-09
6.00000E-01 7.99443E-10 9.40995E-09 1.08498E-09 1.27709E-08
7.00000E-01 9.36450E-10 1.09914E-08 2.01817E-09 2.36879E-08
8.00000E-01 1.07522E-09 1.25789E-08 3.45898E-09 4.04663E-08
9.00000E-01 1.21604E-09 1.41734E-08 5.56999E-09 6.49206E-08
1.00000E+00 1.35917E-09 1.57758E-08 8.53993E-09 9.91223E-08
